date,temperature,humidity,luminosity
2022-11-17 15:51:52.488,25.0,39.4,168
2022-11-17 15:51:47.444,25.0,39.5,139
2022-11-17 15:51:42.401,25.0,39.5,169
2022-11-17 15:51:37.357,25.0,39.3,167
2022-11-17 15:51:32.313,25.1,39.5,168
2022-11-17 15:51:27.270,25.1,39.6,168
2022-11-17 15:51:22.227,25.1,39.5,168
2022-11-17 15:51:17.183,25.1,39.5,133
2022-11-17 15:51:12.140,25.1,39.7,165
2022-11-17 15:51:07.096,25.0,39.7,164
2022-11-17 15:51:02.052,25.1,39.9,168
2022-11-17 15:50:57.009,25.1,39.8,169
2022-11-17 15:50:51.966,25.1,39.8,168
2022-11-17 15:50:46.924,25.1,39.9,169
2022-11-17 15:50:41.880,25.0,39.8,169
2022-11-17 15:50:36.837,25.1,39.8,170
2022-11-17 15:50:31.794,25.1,39.7,170
2022-11-17 15:50:26.751,25.1,39.7,170
2022-11-17 15:50:21.708,25.1,39.7,158
2022-11-17 15:50:16.665,25.0,39.7,158
2022-11-17 15:50:11.622,25.0,39.5,159
2022-11-17 15:50:06.579,25.0,39.5,155
2022-11-17 15:50:01.537,25.0,39.7,174
2022-11-17 15:49:56.494,25.0,39.8,174
2022-11-17 15:49:51.450,25.1,39.8,175
2022-11-17 15:49:46.408,25.1,39.8,175
2022-11-17 15:49:41.365,25.1,39.9,175
2022-11-17 15:49:36.322,25.1,39.9,175
2022-11-17 15:49:31.278,25.0,40.0,176
2022-11-17 15:49:26.236,25.1,40.0,175
2022-11-17 15:49:21.194,25.1,40.0,174
2022-11-17 15:49:16.151,25.1,40.0,174
2022-11-17 15:49:11.107,25.1,39.9,175
2022-11-17 15:49:06.064,25.1,40.0,160
2022-11-17 15:49:01.020,25.0,40.0,160
2022-11-17 15:48:55.975,25.1,39.9,159
2022-11-17 15:48:50.931,25.1,39.9,163
2022-11-17 15:48:45.888,25.1,39.9,162
2022-11-17 15:48:40.844,25.1,39.9,160
2022-11-17 15:48:35.801,25.0,40.1,161
2022-11-17 15:48:30.757,25.0,40.2,127
2022-11-17 15:48:25.713,25.0,40.2,97
2022-11-17 15:48:20.670,25.0,40.4,169
2022-11-17 15:48:15.627,25.1,40.1,169
2022-11-17 15:48:10.584,25.1,40.2,172
2022-11-17 15:48:05.541,25.1,40.3,166
2022-11-17 15:48:00.497,25.0,40.4,157
2022-11-17 15:47:55.455,25.0,40.0,157
2022-11-17 15:47:50.411,25.0,40.2,161
2022-11-17 15:47:45.368,25.1,40.3,149
2022-11-17 15:47:40.325,25.0,40.3,149
2022-11-17 15:47:35.281,25.0,39.0,170
2022-11-17 15:47:30.239,25.1,38.9,168
2022-11-17 15:47:25.195,25.1,38.8,154
2022-11-17 15:47:20.152,25.1,38.8,156
2022-11-17 15:47:15.108,25.0,38.6,160
2022-11-17 15:47:10.065,25.0,38.6,158
2022-11-17 15:47:05.020,25.0,38.7,157
2022-11-17 15:46:59.976,25.0,38.8,163
2022-11-17 15:46:54.934,25.0,38.9,162
2022-11-17 15:46:49.890,25.0,38.9,157
2022-11-17 15:46:44.847,25.0,38.9,171
2022-11-17 15:46:39.804,25.0,38.8,158
2022-11-17 15:46:34.761,25.0,38.7,145
2022-11-17 15:46:29.717,25.0,38.7,169
2022-11-17 15:46:24.675,25.0,38.7,166
2022-11-17 15:46:19.631,25.0,38.7,156
2022-11-17 15:46:14.588,25.0,38.8,171
2022-11-17 15:46:09.544,25.0,38.9,158
2022-11-17 15:46:04.502,25.0,38.9,156
2022-11-17 15:45:59.458,25.0,38.8,157
2022-11-17 15:45:54.415,25.0,39.0,160
2022-11-17 15:45:49.372,25.0,39.0,150
2022-11-17 15:45:44.329,25.0,39.1,146
2022-11-17 15:45:39.285,25.0,39.0,154
2022-11-17 15:45:34.242,25.0,39.3,155
2022-11-17 15:45:29.198,25.0,39.5,154
2022-11-17 15:45:24.155,24.9,39.3,151
2022-11-17 15:45:19.111,25.0,39.3,159
2022-11-17 15:45:14.068,25.0,39.2,156
2022-11-17 15:45:09.024,25.0,39.0,167
2022-11-17 15:45:03.980,24.9,39.0,173
2022-11-17 15:44:58.938,25.0,39.0,170
2022-11-17 15:44:28.696,25.0,38.7,168
2022-11-17 15:44:23.653,25.0,38.6,173
2022-11-17 15:44:18.610,25.0,38.7,160
2022-11-17 15:44:13.567,25.0,38.7,152
2022-11-17 15:44:08.524,25.0,38.7,157
2022-11-17 15:44:03.480,24.9,38.7,157
2022-11-17 15:43:58.437,25.0,38.8,154
2022-11-17 15:43:53.393,25.0,38.6,160
2022-11-17 15:43:48.350,25.0,38.7,154
2022-11-17 15:43:43.306,25.0,38.6,171
2022-11-17 15:43:38.264,25.0,38.6,157
2022-11-17 15:43:33.220,25.0,38.6,156
2022-11-17 15:43:28.178,25.0,38.7,145
2022-11-17 15:43:23.135,25.0,38.9,152
2022-11-17 15:43:18.093,25.0,38.8,158
2022-11-17 15:43:13.049,25.0,38.8,158
2022-11-17 15:43:08.006,25.0,39.0,160
2022-11-17 15:43:02.964,25.0,39.1,160
2022-11-17 15:42:57.920,25.0,39.2,157
2022-11-17 15:42:52.877,25.0,39.2,157
2022-11-17 15:42:47.833,25.0,39.4,160
2022-11-17 15:42:42.789,25.0,39.4,53
2022-11-17 15:42:37.745,24.9,39.3,95
2022-11-17 15:42:32.703,25.0,39.3,173
2022-11-17 15:42:27.661,25.0,39.4,173
2022-11-17 15:42:22.617,24.9,39.5,169
2022-11-17 15:42:17.574,24.9,39.6,168
2022-11-17 15:42:12.531,24.9,39.6,171
2022-11-17 15:42:07.489,24.9,39.6,171
2022-11-17 15:42:02.446,25.0,39.7,172
2022-11-17 15:41:57.403,25.0,39.8,174
2022-11-17 15:41:52.361,25.0,39.9,161
2022-11-17 15:41:47.317,24.9,40.0,174
2022-11-17 15:41:42.274,24.9,40.2,160
2022-11-17 15:41:37.230,24.9,40.0,162
2022-11-17 15:41:32.187,24.9,39.4,121
